Indicateur,Valeur
Patients en isolement,129 (tous CTE confondus)
Cas confirmés en isolement,...
Cas suspects en isolement,104
Guéris du jour,4
Létalité hospitalière,Donnée en cours
Lits CTE disponibles vs occupés,Évaluation en cours
