Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 248,864,"38,4 %",46,10,16,26
Ituri Bunia,681,228,"33,5%",24,4,5,9
Ituri Rwampara,466,150,"32,2%",9,2,8,10
Ituri Mongbwalu,364,206,"56,6%",0,0,2,2
Ituri Nizi,224,99,"44,2%",1,0,0,0
Ituri Nyankunde,99,28,"28,3%","","","",""
Ituri Lita,79,28,"35,4%",1,1,0,1
Ituri Mangala,61,38,"62,3%","","","",""
Ituri Nia-Nia,56,17,"30,4%",2,0,1,1
Ituri Bambu,40,14,"35,0%","","","",""
Ituri Komanda,27,11,"40,7%","","","",""
Ituri Tchomia,23,7,"30,4%","","","",""
Ituri Non identifiées,17,0,"0,0 %","","","",""
Ituri Fataki,14,7,"50,0%",3,0,0,0
Ituri Kilo,11,3,"27,3%","","","",""
Ituri Adja,10,1,"10,0%","","","",""
Ituri Mandima,11,6,"54,5%",1,1,0,1
Ituri Mambasa,8,6,"75,0%","","","",""
Ituri Logo,8,1,"12,5%","","","",""
Ituri Ariwara,10,1,"10,0%","","","",""
Ituri Damas,7,0,"0,0%","","","",""
Ituri Aungba,6,2,"33,3%","","","",""
Ituri Drodro,8,4,"50,0%",3,1,0,1
Ituri Rimba,5,0,"0,0%","","","",""
Ituri Aru,4,2,"50,0%","","","",""
Ituri Kambala,2,2,"100,0%","","","",""
Ituri Lolwa,2,1,"50,0%","","","",""
Ituri Boga,3,2,"66,7%",2,1,0,1
Ituri Gety,1,0,"0,0%","","","",""
Ituri Mahagi,1,0,"0,0%","","","",""
Nord-Kivu,259,152,"58,7 %",12,5,1,6
Nord-Kivu Katwa,114,78,"68,4 %",6,4,0,4
Nord-Kivu Butembo,65,31,"47,7 %",4,0,0,0
Nord-Kivu Beni,39,27,"69,2 %",2,1,1,2
Nord-Kivu Musienene,19,5,"26,3 %","","","",""
Nord-Kivu Kyondo,10,5,"50,0 %","","","",""
Nord-Kivu Oicha,4,4,"100,0 %","","","",""
Nord-Kivu Kalunguta,2,1,"50,0 %","","","",""
Nord-Kivu Masereka,3,0,"0,0 %","","","",""
Nord-Kivu Goma,1,0,"0,0 %","","","",""
Nord-Kivu Vuhovi,1,1,"100,0 %","","","",""
Nord-Kivu Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Sud-Kivu Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,21,12,"57,1 %",5,2,0,2
Haut-Uélé Wamba,6,3,"50,0 %","","","",""
Haut-Uélé Pawa,3,3,"100,0 %","","","",""
Haut-Uélé Boma Mangbetu,4,2,"50,0 %","","","",""
Haut-Uélé Isiro,8,4,"50,0 %",5,2,0,2
Tshopo,5,4,"80,0 %",—,"","",—
Tshopo Makiso-Kisangani,3,3,"100,0 %","","","",""
Tshopo Mangobo,1,1,"100,0 %","","","",""
Tshopo Lubunga,1,0,"0,0 %","","","",""
Total,2 536,1 033,"40,7 %",63,17,17,34
