Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,11 428,8 377,"73,3%"
Nord-Kivu,3 874,3 010,"77,7%"
Tshopo,72,72,"100,0%"
Haut-Uélé,ND,ND,ND
Sud-Kivu (fin de suivi),0,0,NA
Total,15 374,11 459,"74,5 %"
