Zone de santé,Activité,Portée
Bunia,Sensibilisation au lavage des mains par les DG INSP et OMS; émission interactive à la RTNC,Large audience
Rwampara,Sensibilisation de 190 leaders communautaires (17 femmes) sur les mesures préventives,190 personnes
Bambu,Sensibilisation à l'École Primaire Kilomoto,305 élèves (102 filles)
Aru,Briefing de 27 personnes sur la CREC et la surveillance à base communautaire,27 personnes
Nyankunde,"Causerie éducative à l'église Brahanam (72 fidèles); sensibilisation dans l'Aire de Santé Sota (391 personnes, 233 femmes)",463 personnes
