Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (18/18),100 % (9/9),"35,0 % (7/20)","87,9 % (94/107)"
Nombre de personnes passées aux PoE/PoC,132 493,78 435,84 432,3 481,298 850
% des voyageurs screenés,"96,0 %","97,21 %",100 %,"99,3 %","97,5 %"
% des voyageurs ayant lavé les mains,"96,0 %","97,21 %",100 %,"99,1 %","97,5 %"
% des voyageurs sensibilisés,"99,4 %","97,21 %",100 %,100 %,"99,0 %"
Nombre d’alertes notifiées,5,4,0,0,9
Nombre d’alertes vivantes validées,1,3,0,0,4
Nombre de corps sans vie interceptés ce jour,4,0,0,0,4
Nombre de contacts à problème interceptés ce jour,0,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100 % (1/1),100 % (3/3),0,0,100 % (4/4)
% des corps sans vie swabés,75 % (3/4),0,0,0,75 % (3/4)
Nombre de résultat positif des cas suspects référés,0,0,0,0,0
