DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Bas-Uele*,ND,ND,ND,ND,ND,ND,ND,ND,ND
Haut-Uélé,27,4,31,5,4,22,1,9,4
Ituri,557,85,642,147,79,217,6,157,138
Nord-Kivu,937,53,990,114,53,812,53,167,103
Sud-Kivu,36,0,36,1,0,35,0,1,1
Tshopo*,ND,ND,ND,ND,ND,ND,ND,ND,ND
Total Général,1557,142,1 699,267,136,1086,60,334,246
