Date,Provenance/ZS,Nombre échantillons testés,Natures d'échant Sang,Natures d'échant Swab,Reprévelement,Positifs Sang,Positifs Swab,Négatifs Sang,Négatifs Swab,Indéterminés Sang,Indéterminés Swab
23/05/2026,Nyakunde,3,3,0,0,0,0,3,0,0,0
23/05/2026,Mongbwalu,19,19,0,0,9,0,10,0,0,0
TOTAL,TOTAL,22,22,0,0,9,0,13,0,0,0
