Province,Nombre de Nouveaux Contacts n,Nombre de Nouveaux Contacts %,Nombre de contacts Devenu Suspect n,Nombre de contacts Devenu Suspect %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,538,"88,1%",5,"62,5%",52,"36,1%"
Nord-Kivu,73,"11,9%",3,"37,5%",92,"63,9%"
Total,611,"100,0%",8,"100,0%",144,"100,0%"
