Indicateur PoE/PoC,Valeur (24h),Taux
Voyageurs passés par les PoE/PoC,14 057,...
Voyageurs screenés,13 901,"98,8%"
Voyageurs ayant lavé les mains,13 901,"98,8%"
Voyageurs sensibilisés,13 963,"99,3%"
Contacts listés,0,...
Alertes remontées,1,...
