Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (%)
ITURI Bunia,185,17,"9,2%"
ITURI Rwampara,137,25,"18,2%"
ITURI Mongbwalu,132,49,"37,1%"
ITURI Nyankunde,33,1,"3,0%"
ITURI Bambu,7,2,"28,6%"
ITURI Aru,3,1,"33,3%"
ITURI Kilo,4,1,"25,0%"
ITURI Nizi,7,0,"0,0%"
ITURI Mangala,2,0,"0,0%"
ITURI Damas,3,0,"0,0%"
ITURI Aungba,2,1,"50,0%"
ITURI Gety,1,0,"0,0%"
ITURI Komanda,3,0,"0,0%"
ITURI Lita,6,0,"0,0%"
ITURI Logo,2,0,"0,0%"
ITURI Mambasa,2,1,"50,0%"
ITURI Rimba,3,0,"0,0%"
ITURI Tchomia,2,0,"0,0%"
ITURI Kambala,1,1,"100,0%"
ITURI Autres ZS (données non ventilées),94,10,"10,6%"
ITURI Sous-total Ituri,629,109,"17,3%"
NORD-KIVU Katwa,18,10,"55,6%"
NORD-KIVU Beni,9,7,"77,8%"
NORD-KIVU Butembo,9,5,"55,6%"
NORD-KIVU Oicha,2,2,"100,0%"
NORD-KIVU Kalunguta,1,1,"100,0%"
NORD-KIVU Kyondo,2,0,"0,0%"
NORD-KIVU Goma,1,0,"0,0%"
NORD-KIVU Masereka,1,0,"0,0%"
NORD-KIVU Vuhovi,1,1,"100,0%"
NORD-KIVU Sous-total Nord-Kivu,44,26,"59,1%"
SUD-KIVU Miti-Murhesa,3,1,"33,3%"
SUD-KIVU Sous-total Sud-Kivu,3,1,"33,3%"
TOTAL,676,136,"20,1%"
