Indicators,Sub-indicator,Bunia HGR,Bunia SOFEPADI,Bunia Clinique Bénedicte,Bunia RWAOLE,Bunia CH ELIKYA,Bunia TOTAL,Rwampara HGR,Rwampara CME,Rwampara CH SALAMA,Rwampara CS HOHO,Rwampara TOTAL,HGR MONGBWALU,HGR NYANKUNDE,TOTAL GENERAL
Report,NA,6,4,0,12,6,28 beds,16,100,10,0,126 beds,12,11,101
New Admissions,PPL,0,0,0,0,0,0,0,2,3,0,5,0,1,6
NA,Others,6,0,1,3,2,12,2,6,4,0,12,9,0,33
NA,Total,6,0,1,3,2,12,2,8,7,0,17,9,1,39
Total in Isolation,NA,19,4,2,9,6,40,24,8,14,8,54,30,16,126
Sorties,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,Deaths,2,0,0,1,0,3,2,0,0,0,2,1,0,6
NA,Non Cases,0,0,0,0,0,0,0,5,8,0,13,0,0,13
NA,Evaded,1,0,0,0,0,1,0,1,0,0,1,2,0,4
NA,Transferred to HGR,0,0,0,0,0,0,0,0,0,1,1,0,0,1
