Indicateurs,Ituri,Nord-Kivu,Tshopo,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),4/20(20%),"83,3 % (80/96)"
Nombre de personnes passées aux PoE/PoC,10 4642,61 060,2 237,167 939
% des voyageurs screenés,94 %,"97,5 %",100%,"95,7 %"
% des voyageurs ayant lavé les mains,94 %,"97,5 %","99,5%","95,7 %"
% des voyageurs sensibilisés,"95,5 %","97,5%","96 ,7%","96,5%"
Nombre d'alertes notifiées,6,2,1,9
Nombre d'alertes vivantes validées,6,0,1,7
Nombre de corps sans vie interceptés ce jour,0,2,0,2
Nombre de contacts à problème interceptés ce jour,0,0,0,0
% d'alertes vivantes validées référées au CT/CTE,50%,0%,"100,0%","57,1 % (4/7)"
% des corps sans vie swabés,"0,0 %",100%,"0,0%","100,0 % (2/2)"
Nombre de résultat positif des cas suspects référés,4,0,0,4
