Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),37,0,0,37
Nouvelles Alertes,474,864,38,1376
Total Alertes du jour,511,864,38,1413
Alertes investiguées,180,862,36,1078
Taux d'investigation,"35,2%","99,8%","94,7%","76,3%"
Alertes validées Vivantes,164,55,0,219
Alertes validées Décédées,58,32,0,90
Total des cas suspects du jour,222,87,0,309
