Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,1214,335,"27,6%"
ITURI Bunia,358,82,"22,9%"
ITURI Rwampara,295,60,"20,3%"
ITURI Mongbwalu,258,123,"47,7%"
ITURI Nyankunde,94,15,"16,0%"
ITURI Nizi,41,9,"22,0%"
ITURI Lita,29,9,"31,0%"
ITURI Komanda,16,5,"31,3%"
ITURI Bambu,16,4,"25,0%"
ITURI Kilo,9,1,"11,1%"
ITURI Mangala,24,12,"50,0%"
ITURI Tchomia,13,2,"15,4%"
ITURI Damas,5,0,"0,0%"
ITURI Aungba,6,2,"33,3%"
ITURI Rimba,3,0,"0,0%"
ITURI Aru,3,1,"33,3%"
ITURI Mambasa,2,1,"50,0%"
ITURI Logo,7,0,"0,0%"
ITURI Drodro,3,3,"100,0%"
ITURI Gety,1,0,"0,0%"
ITURI Kambala,1,1,"100,0%"
ITURI Nia-Nia*,11,5,"45,5%"
ITURI Fataki,1,0,"0,0%"
ITURI Mandima,1,0,"0,0%"
ITURI Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,116,63,"54,3%"
NORD-KIVU Butembo,34,14,"41,2%"
NORD-KIVU Katwa,45,27,"60,0%"
NORD-KIVU Beni,22,14,"63,6%"
NORD-KIVU Oicha,3,2,"66,7%"
NORD-KIVU Kalunguta,2,1,"50,0%"
NORD-KIVU Kyondo,3,2,"66,7%"
NORD-KIVU Goma,1,0,"0,0%"
NORD-KIVU Masereka,1,0,"0,0%"
NORD-KIVU Vuhovi,1,1,"100,0%"
NORD-KIVU Mabalako,1,0,"0,0%"
NORD-KIVU Musienene,3,2,"66,7%"
SUD-KIVU,3,1,"33,3%"
SUD-KIVU Miti-Murhesa,3,1,"33,3%"
TOTAL,1333,399,"29,9%"
