Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 090,776,"37,1 %",67,22,9,31
Ituri Bunia,621,202,"32,5%",15,4,1,5
Ituri Rwampara,440,124,"28,2%",10,6,2,8
Ituri Mongbwalu,360,199,"55,3%",5,1,2,3
Ituri Nizi,198,87,"43,9%",30,8,0,8
Ituri Nyankunde,99,28,"28,3%","","","",""
Ituri Lita,77,27,"35,1%","","","",""
Ituri Mangala,58,35,"60,3%",2,2,0,2
Ituri Nia-Nia,49,15,"30,6%",2,1,2,3
Ituri Bambu,36,12,"33,3%","","","",""
Ituri Komanda,27,10,"37,0%","","","",""
Ituri Tchomia,22,5,"22,7%",1,0,0,0
Ituri Non identifiées,17,0,"0,0 %","","","",""
Ituri Fataki,11,7,"63,6%",2,0,1,1
Ituri Kilo,11,3,"27,3%","","","",""
Ituri Mandima,9,4,"44,4%","","","",""
Ituri Mambasa,8,6,"75,0%",0,0,1,1
Ituri Damas,7,0,"0,0%","","","",""
Ituri Logo,7,1,"14,3%","","","",""
Ituri Ariwara,6,1,"16,7%","","","",""
Ituri Aungba,6,2,"33,3%","","","",""
Ituri Drodro,5,3,"60,0%","","","",""
Ituri Rimba,5,0,"0,0%","","","",""
Ituri Aru,4,1,"25,0%","","","",""
Ituri Kambala,2,2,"100,0%","","","",""
Ituri Lolwa,2,1,"50,0%","","","",""
Ituri Boga,1,1,"100,0%","","","",""
Ituri Gety,1,0,"0,0%","","","",""
Ituri Mahagi,1,0,"0,0%","","","",""
Nord-Kivu,230,139,"60,4 %",16,8,1,9
Nord-Kivu Katwa,98,71,"72,4 %",6,3,1,4
Nord-Kivu Butembo,57,29,"50,9 %",2,2,0,2
Nord-Kivu Beni,37,25,"67,6 %",3,1,0,1
Nord-Kivu Musienene,18,5,"27,8 %",4,2,0,2
Nord-Kivu Kyondo,9,4,"44,4 %",1,"","",""
Nord-Kivu Kalunguta,2,1,"50,0 %","","","",""
Nord-Kivu Masereka,3,0,"0,0 %","","","",""
Nord-Kivu Oicha,3,3,"100,0 %","","","",""
Nord-Kivu Goma,1,0,"0,0 %","","","",""
Nord-Kivu Vuhovi,1,1,"100,0 %","","","",""
Nord-Kivu Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Sud-Kivu Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,16,10,"62,2 %",—,"","",—
Haut-Uélé Wamba,6,3,"50,0 %","","","",""
Haut-Uélé Pawa,3,3,"100,0 %","","","",""
Haut-Uélé Boma Mangbetu,4,2,"50,0 %","","","",""
Haut-Uélé Isiro,3,2,"66,7 %","","","",""
Tshopo,5,4,"80,0 %",—,"","",—
Tshopo Makiso-Kisangani,3,3,"100,0 %","","","",""
Tshopo Mangobo,1,1,"100,0 %","","","",""
Tshopo Lubunga,1,0,"0,0 %","","","",""
Total,2 344,930,"39,7 %",83,30,10,40
