Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,800,141,ND,ND,941
Patients au lit (J-1),576,167,ND,ND,743
Total admissions (24 h),102,49,ND,ND,151
Total admissions,678,216,ND,ND,894
Sorties Décédés,19,6,ND,ND,25
Sorties Non-cas,40,37,ND,ND,77
Sorties Guéris,13,2,ND,ND,15
Sorties Evadés,2,0,ND,ND,2
Sorties Transférés à l'HGR,2,0,ND,ND,2
Total sorties (24 h),76,45,ND,ND,121
Patients en isolement (fin J),602,171,ND,ND,773
dont confirmés,287,20,ND,ND,307
dont suspects,315,151,ND,ND,466
Taux d'occupation,"75,3%","121,3 %",ND,ND,"82,1%"
