Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,6 312,4 918,"77,9%"
Nord-Kivu,1 938,1 421,"73,3%"
Sud-Kivu,96,96,"100,0%"
Total,8 346,6 435,"77,1%"
