Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,276,483,7,766
Alertes investiguées,188,483,7,678
Taux d'investigation,"68,1%","100,0%","100,0%","88,5%"
Alertes validées Vivantes,131,36,7,174
Alertes validées Décédées,45,16,0,61
Total des cas suspects du jour,176,52,7,235
