Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 688,3 649,"77,8%"
Nord-Kivu,1 698,778,"45,8%"
Sud-Kivu,ND,ND,NA
Total,6 386,4 427,"69,3%"
