Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),71,0,2,73
Nouvelles Alertes,155,723,7,885
Total Alertes du jour,226,723,9,958
Alertes investiguées,110,723,9,842
Taux d'investigation,"48,7%","100,0%","100,0%","87,9%"
Alertes validées Vivantes,82,25,2,109
Alertes validées Décédées,28,13,0,41
Total des cas suspects du jour,110,38,2,150
