Indicateurs 1,Indicateurs 2,HGR Bunia,RWAMPARA,RWAMPARA_1,Mongbwalu,Mongbwalu_1,Nyankunde,Total Général
Report,Report,36,21,15,35,27,16,129
Nouvelles Admissions,PPL,1,0,0,0,0,7,8
Nouvelles Admissions,Autres,13,2,4,6,9,0,28
Nouvelles Admissions,Total,14,2,4,6,9,7,36
Total en Isolement,Total en Isolement,50,23,19,46,36,23,165
Sorties,Guéris,0,0,0,0,0,0,0
Sorties,Décédés,8,4,4,10,5,0,23
Sorties,Cumul de décès,46,10,15,25,44,1,116
Sorties,Non Cas,0,0,0,0,0,0,0
Sorties,Evadés,9,0,0,0,1,0,10
Sorties,Transférés à HGR,0,0,0,0,0,0,0
Malades en isolement,Suspects,48,21,17,38,35,17,138
Malades en isolement,Dont prélevés,26,ND,1,1,0,7,34
Malades en isolement,Dont sévères/critiques,12,1,1,2,0,0,14
Malades en isolement,Dont Femmes enceintes,0,0,0,0,1,0,1
Malades en isolement,Dont Femmes allaitantes,2,0,0,0,1,0,3
Malades en isolement,Dont Suspect Enfant < 5 ans,6,0,0,0,1,0,7
Malades en isolement,5 à 14 ans,3,0,0,0,2,0,5
Malades en isolement,Total cas confirmés,4,2,2,4,1,6,15
Malades en isolement,Dont Nouveaux cas Confirmés,2,0,0,0,1,1,4
Malades en isolement,Dont AC Confirmés,0,2,1,5,0,4,9
Malades en isolement,Dont sévères/critiques,2,0,1,2,0,0,4
Malades en isolement,Dont avec comorbidités,1,0,0,0,0,0,1
Malades en isolement,Dont Femmes enceintes,0,0,0,0,0,0,0
Malades en isolement,Dont Femmes allaitantes,0,0,0,0,0,0,0
Malades en isolement,Dont Suspect Enfant < 5 ans,0,0,0,0,0,0,0
Malades en isolement,5 à 14 ans,0,0,0,0,0,0,0
