Health zone,Contacts (report 19/05),New contacts (20/05),Total contacts (20/05),Seen,Suspects turned into cases,Lost to follow-up,Follow-up rate,Total not seen,Simple absence,Lost to follow-up (≥72 hours),Never seen,Refusal,Displaced,To follow up today
Bunia,203,0,203,0,0,0,0%,203,0,0,0,0,0,203
Rwampara,335,286,621,83,0,0,14%,538,0,0,0,0,0,621
Nyankunde,133,0,133,0,0,0,0%,133,0,0,0,0,0,133
Mongbwalu,176,0,176,0,0,0,0%,176,0,0,0,0,0,176
Bambu,0,128,128,0,0,0,0%,128,0,0,0,0,0,128
Total,847,414,1261,83,0,0,7%,1178,0,0,0,0,0,1261
