# Table: Rapport de Situation de la 17ème épidémie de la Maladie à Virus Ebola/RDC
Provinces touchées,Zones de Santé touchées,Date de rapportage,Date de publication
ITURI, NORD-KIVU,19 mai 2026,20 mai 2026
# Table: Ituri and Nord-Kivu data
Provinces touchées,Zones de santé,Nouveaux cas confirmés,Nouveaux décès confirmés,Nouveaux cas probables,Nouveaux cas suspects,Nouveaux contacts listés,Guéris du jour
Ituri,Bunia,0,0,ND,29,76,0
Ituri,Rwampare,4,0,ND,18,215,0
Ituri,Mungbwalu,12,0,ND,7,15,0
Ituri,Nyankunde,0,0,ND,5,0,0
Ituri,Sous total,16,0,0,59,306,0
Nord-Kivu,Goma,0,0,ND,ND,ND,0
Nord-Kivu,Butembo,0,0,ND,ND,ND,0
Nord-Kivu,Katwa,0,0,ND,ND,ND,0
Nord-Kivu,Sous total,0,0,0,0,0,0
Total,Total,16,0,0,59,306,0
