Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),ND,7,ND,0,0,7
Nouvelles alertes reçues,458,772,ND,49,2,1 281
Total alertes du jour,458,774,ND,49,2,1 288
Alertes investiguées,352,763,ND,41,2,1 158
Taux d'investigation (24 h),"76,9 %","98,6 %",ND,"83,7 %","100,0 %","90,3 %"
Alertes validées — vivantes,147,53,ND,2,1,203
Alertes validées — décédées (comm.),46,33,ND,0,0,79
Total cas suspects du jour,193,86,ND,2,1,282
