Provinces,Health Areas,Number of Suspected Cases,Number of Deaths,Number of Confirmed Cases,Number of Contacts
Ituri,Mongbwalu,302,74,1,161
Ituri,Rwampara,136,38,19,120
Ituri,Bunia,61,18,6,127
Ituri,Nyankunde,14,1,4,133
North-Kivu,Goma,1,0,1,ND
North-Kivu,Katwa,1,0,1,ND
North-Kivu,Butembo,1,0,1,ND
Total,NA,516,131,33,541
