Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5224,2355,"45,1%",60,10,3,13
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,8,6,"75,0%","","","",0
Ituri Ariwara,8,2,"25,0%","","","",0
Ituri Aungba,12,5,"41,7%","","","",0
Ituri Bambu,170,36,"21,2%",2,0,"",0
Ituri Boga,2,2,"100,0%","","","",0
Ituri Bunia,1455,449,"30,9%",11,2,"",2
Ituri Damas,30,9,"30,0%",2,0,"",0
Ituri Drodro,14,7,"50,0%","","","",0
Ituri Fataki,77,30,"39,0%","","","",0
Ituri Gethy,6,2,"33,3%","","","",0
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,32,12,"37,5%","","","",0
Ituri Komanda,98,66,"67,3%",6,4,"",4
Ituri Lita,231,121,"52,4%",6,0,"",0
Ituri Logo,12,5,"41,7%",1,0,"",0
Ituri Lolwa,22,5,"22,7%","","","",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,17,7,"41,2%","","","",0
Ituri Mandima,36,21,"58,3%","","","",0
Ituri Mangala,278,138,"49,6%",7,0,"",0
Ituri Mongbwalu,623,288,"46,2%",7,0,"",0
Ituri Nia-Nia,221,113,"51,1%",3,0,"",0
Ituri Nizi,683,267,"39,1%",8,1,"",1
Ituri Nyankunde,124,35,"28,2%","","","",0
Ituri Rimba,11,4,"36,4%","","","",0
Ituri Rwampara,977,344,"35,2%",6,3,"",3
Ituri Tchomia,60,25,"41,7%",1,0,"",0
Ituri A ventiler,NA,354,NA,NA,NA,3,3
Nord-Kivu,938,623,"66,4%",25,7,2,9
Nord-Kivu Beni,156,115,"73,7%",5,5,1,6
Nord-Kivu Biena,1,1,"100,0%","","","",0
Nord-Kivu Butembo,193,136,"70,5%",7,1,1,2
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,17,8,"47,1%",1,1,"",1
Nord-Kivu Katwa,427,278,"65,1%",11,0,"",0
Nord-Kivu Kyondo,16,12,"75,0%","","","",0
Nord-Kivu Lubero,4,3,"75,0%","","","",0
Nord-Kivu Mabalako,7,5,"71,4%","","","",0
Nord-Kivu Manguredjipa,2,1,"50,0%","","","",0
Nord-Kivu Masereka,13,5,"38,5%",1,0,"",0
Nord-Kivu Musienene,85,48,"56,5%","","","",0
Nord-Kivu Mutwanga,2,2,"100,0%","","","",0
Nord-Kivu Oicha,8,6,"75,0%","","","",0
Nord-Kivu Vuhovi,6,3,"50,0%","","","",0
Haut-Uélé,245,104,"42,4%",9,0,1,1
Haut-Uélé Boma Mangbetu,29,14,"48,3%",2,0,"",0
Haut-Uélé Gombari,3,1,"33,3%","","","",0
Haut-Uélé Isiro,89,36,"40,4%",3,0,1,1
Haut-Uélé Pawa,39,22,"56,4%","","","",0
Haut-Uélé Rungu,2,1,"50,0%","","","",0
Haut-Uélé Wamba,83,30,"36,1%",4,0,"",0
Tshopo,22,9,"40,9%",0,0,0,0
Tshopo Bafwasende,2,0,"0,0%","","","",0
Tshopo Kabondo,4,1,"25,0%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,10,5,"50,0%","","","",0
Tshopo Mangobo,3,2,"66,7%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",0
Tshopo Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Bas Uélé Buta,1,1,"100,0%","","","",0
Bas Uélé Viadana,1,0,"0,0%","","","",0
Bas Uélé Ganga,2,2,"100,0%","","","",0
Total,6436,3095,"48,1%",94,17,6,23
