Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,44,5016,2 274,"45,3%","28/36 (77,8 %)"
Nord-Kivu,8,836,566,"67,7%","15/34 (44,1 %)"
Haut-Uélé,6,222,97,"43,7%","6/13 (46,1 %)"
Tshopo,0,19,9,"47,4%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,1,4,3,"75,0%","3/11(27,3%)"
Total,59,6 100,2 950,"48,4%","60/151 (39,7 %)"
