Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 118,1 779,"43,2%"
Nord-Kivu,699,577,"82,5%"
Sud-Kivu,223,179,"80,3%"
Total,5 040,2 535,"50,3%"
