Indicateurs,Résultats
Proportion de PoC activés,"80,0% (44/55)"
Nombre des voyageurs passés,60 901
% des voyageurs screenés,"95,0%"
% des voyageurs ayant lavé les mains,"94,0%"
% des voyageurs sensibilisés,"97,0%"
Nombre d’alertes notifiées,3
Nombre d'alertes validées,3
% de résultats disponibles dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,1
Nombre de contacts interceptés ce jour,0
