Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),17,130,15,0,ND,162
Nouvelles alertes reçues,393,858,10,2,ND,1 263
Total alertes du jour,410,988,25,2,ND,1 425
Alertes investiguées,273,842,25,2,ND,1 142
Taux d'investigation (24 h),"66,6%","85,2%","100,0%","100,0%",ND,"80,1%"
Alertes validées — vivantes,134,57,22,0,ND,213
Alertes validées — décédées (comm.),56,48,3,1,ND,108
Total cas suspects du jour,190,105,25,1,ND,321
