Indicators,ZS Mongbwalu,ZS Rwampara,ZS Bunia,Total
Alerts received,256,72,12,340
Investigated cases,256,72,8,336
Suspected cases sampled,7,25,0,32
Confirmed Cases,0,13,0,13
Probable Cases,57,27,3,87
Suspected cases in isolation,3,5,4,12
Suspected cases awaiting sampling,0,5,6,11
