Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,60,5224,2 355,"45,1%","28/36 (77,8 %)"
Nord-Kivu,25,938,623,"66,4%","15/34 (44,1 %)"
Haut-Uélé,9,245,104,"42,4%","6/13 (46,1 %)"
Tshopo,0,22,9,"40,9%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,94,6 436,3 095,"48,1%","60/151 (39,7 %)"
