Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,7 235*,6 199,"85,7%"
Nord-Kivu,1 892*,1 747,"92,3%"
Sud-Kivu,18,18,"100,0%"
Total,9 145,7 964,"87,1%"
