Province,Nombre de nouveaux contacts n,Nombre de nouveaux contacts %,Nombre de contacts devenus suspects n,Nombre de contacts devenus suspects %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,524,"81,2%",4,"66,7%",92,"56,4%"
Nord-Kivu,121,"18,8%",2,"33,3%",71,"43,6%"
Total,645,"100,0%",6,"100,0%",163,"100,0%"
