Indicateurs,Résultats
Proportion de PoC activés,"72,7% (40/55)"
Nombre des voyageurs passés,47 525
% des voyageurs screenés,"90,0%"
% des voyageurs ayant lavé les mains,"94,0%"
% des voyageurs sensibilisés,"94,0%"
Nombre d’alertes notifiées,2
% d’alertes investiguées ou corps sans vie swabé dans 24h,"50,00%"
Nombre d'alertes validées,2
% de résultats disponible dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
