Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Haut-Uélé,Total
Report (J-1),17,29,0,0,46
Nouvelles alertes reçues,408,665,5,32,1 110
Total alertes du jour,425,694,5,32,1 156
Alertes investiguées,348,665,5,31,1 049
Taux d'investigation (24 h),"81,9 %","95,8 %","100,0 %","96,9 %","90,5 %"
Alertes validées — vivantes,118,23,4,11,156
Alertes validées — décédées (comm.),56,39,0,17,112
Total cas suspects du jour,174,62,4,28,268
