Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1477,439,"29,7%"
ITURI Bunia,452,121,"26,9"
ITURI Rwampara,349,72,"20,6"
ITURI Mongbwalu,288,149,"51,7"
ITURI Nyankunde,96,19,"19,8"
ITURI Nizi,78,19,"24,4"
ITURI Lita,33,12,"36,4"
ITURI Komanda,22,8,"36,4"
ITURI Bambu,25,6,"24,0"
ITURI Kilo,9,1,"11,1"
ITURI Mangala,33,14,"42,4"
ITURI Tchomia,15,2,"13,3"
ITURI Damas,5,0,"0,0"
ITURI Aungba,6,2,"33,3"
ITURI Rimba,4,0,"0,0"
ITURI Aru,3,1,"33,3"
ITURI Mambasa,2,1,"50,0"
ITURI Logo,7,0,"0,0"
ITURI Drodro,3,3,"100,0"
ITURI Gety,1,0,"0,0"
ITURI Kambala,2,2,"100,0"
ITURI Nia-Nia,20,5,"25,0"
ITURI Fataki,2,0,"0,0"
ITURI Mandima,4,1,"25,0"
ITURI Lolwa,1,1,"100,0"
ITURI Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,144,81,"56,3"
NORD-KIVU Butembo,40,18,"45,0"
NORD-KIVU Katwa,52,38,"73,1"
NORD-KIVU Beni,29,17,"58,6"
NORD-KIVU Oicha,3,2,"66,7"
NORD-KIVU Kalunguta,2,1,"50,0"
NORD-KIVU Kyondo,4,2,"50,0"
NORD-KIVU Goma,1,0,"0,0"
NORD-KIVU Masereka,3,0,"0,0"
NORD-KIVU Vuhovi,1,1,"100,0"
NORD-KIVU Mabalako,1,0,"0,0"
NORD-KIVU Musienene,8,2,"25,0"
SUD-KIVU,3,1,"33,3"
SUD-KIVU Miti-Murhesa,3,1,"33,3"
TOTAL,1 624,521,"32,1%"
