Indicateurs aux PoE/PoC,TOTAL
Voyageurs passés par le PoE/PoC,13 960
Voyageurs screenés,"13 187(94,4%)"
Voyageurs ayant lavés les mains,"13 187 (94,4%)"
Voyageurs sensibilisés sur la MVE,13 960 (100%)
Contacts listés,0
Alertes remontées,0
