Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,717,146,"20,4%","20 sur 36 (55,5 %)",56
Nord-Kivu,62,34,"54,8%","10 sur 34 (29,4 %)",16
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,782,181,"23,1%","31 sur 104 (29,8 %)",72
