Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri*,1705,577*,"33,8%","25 sur 36 (69,4 %)",42
Nord-Kivu,165,94,"57,0%","11 sur 34 (32,4 %)",1
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Haut-Uélé**,1,1,"100,0%","1 sur 13 (7,7 %)",0
Tshopo**,4,2,"50,0%","3 sur 23 (13,0%)",0
Total,1 873,672,"35,9%",41 sur 140,43
