"Provinces touchées","ITURI, NORD-KIVU"
"Zones de Santé touchées","ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,\nNORD-KIVU : Goma, Katwa et Butembo"
"Date de rapportage","19 mai 2026"
"Date de publication","20 mai 2026"
