Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"13 (54,2 %)",0
Cas confirmés en cours de suivi,"48 (26,7 %)",3 (100 %)
Nouveaux cas suspects,"31 (83,8 %)",8 (100 %)
Cas suspects en cours de suivi,"128 (81,5 %)",17 (100 %)
Résultats de laboratoire annoncés (dont positifs),30 (16),4 (0)
Enfants séparés — crèche / communauté,0 / 0,0 / 0
Accompagnants au CTE,142,9
Personnels de première ligne (PPL),3,6
Membres des ménages / communautés,13,0
EDS appuyés (SMSPS),2,0
