Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1556,491,"31,6%"
ITURI Bunia,472,134,"28,4%"
ITURI Rwampara,357,75,"21,0%"
ITURI Mongbwalu,298,154,"51,7%"
ITURI Nyankunde,96,20,"20,8%"
ITURI Nizi,84,24,"28,6%"
ITURI Lita,40,16,"40,0%"
ITURI Komanda,23,8,"34,8%"
ITURI Bambu,28,9,"32,1%"
ITURI Kilo,9,1,"11,1%"
ITURI Mangala,39,20,"51,3%"
ITURI Tchomia,15,2,"13,3%"
ITURI Damas,5,0,"0,0%"
ITURI Aungba,6,2,"33,3%"
ITURI Rimba,4,0,"0,0%"
ITURI Aru,3,1,"33,3%"
ITURI Mambasa,4,3,"75,0%"
ITURI Logo,7,0,"0,0%"
ITURI Drodro,3,3,"100,0%"
ITURI Gety,1,0,"0,0%"
ITURI Kambala,2,2,"100,0%"
ITURI Nia-Nia,33,12,"36,4%"
ITURI Fataki,3,1,"33,3%"
ITURI Mandima,5,2,"40,0%"
ITURI Lolwa,1,1,"100,0%"
ITURI Boga,1,1,"100,0%"
ITURI Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,144,81,"56,3"
NORD-KIVU Butembo,41,20,"48,8%"
NORD-KIVU Katwa,56,41,"73,2%"
NORD-KIVU Beni,29,19,"65,5%"
NORD-KIVU Oicha,3,2,"66,7%"
NORD-KIVU Kalunguta,2,1,"50,0%"
NORD-KIVU Kyondo,4,2,"50,0%"
NORD-KIVU Goma,1,0,"0,0%"
NORD-KIVU Masereka,3,0,"0,0%"
NORD-KIVU Vuhovi,1,1,"100,0%"
NORD-KIVU Mabalako,1,0,"0,0%"
NORD-KIVU Musienene,8,2,"25,0%"
SUD-KIVU,3,1,"33,3"
SUD-KIVU Miti-Murhesa,3,1,"33,3"
TOTAL,1 708,580,"34,0%"
