Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"98,3 % (59/60)",100 % (18/18),"55,5 % (5/9)","85,7 % (6/7)","54,5 % (6/11)","50,0 % (10/20)","83,2 % (104/125)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",100 %,NA,35 % (7/20),"54,5 % (6/11)",ND,ND
Nombre de personnes passées aux PoE/PoC,149 443,87 183,7 678,5 510,7 971,3 617,261 402
% des voyageurs screenés,"98,0 %","97,91 %","98,3 %","99,3 %","96,0 %","99,4 %","98,0 %"
% des voyageurs ayant lavé les mains,"97,4 %","97,91 %","98,3 %","99,1 %","96,0 %","99,4 %","97,6 %"
% des voyageurs sensibilisés,"99,3 %","97,91 %",100 %,100 %,"96,0 %","99,4 %","98,8 %"
Nombre d’alertes notifiées,3,6,0,0,2,3,14
Nombre d’alertes vivantes validées (cas suspects),3,4,0,0,1,0,8
Nombre de corps sans vie interceptés ce jour,0,0,0,0,1,0,1
% des cas suspects transférés au CT/CTE,100 % (3/3),100 % (4/4),0 %,0 %,100 % (1/1),NA,100 % (8/8)
% des corps sans vie swabés/sécurisés,0 % (0/0),0 %,0 %,0 %,0 % (0/1),NA,0 % (0/1)
% des cas suspects investigués dans 24 h,100 % (3/3),100 % (4/4),0 %,0 %,100 % (1/1),100 % (3/3),100 % (11/11)
