Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 752,2 487,"52,3%"
Nord-Kivu,703,533,"75,8%"
Sud-Kivu,226,181,"80,1%"
Total,5 681,3 201,"56,3%"
