Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,9285,7886,"84,9 %"
Nord-Kivu,2888,2553,"88,4 %"
Tshopo,78,78,"100,0 %"
Haut-Uélé,ND,ND,ND
Sud-Kivu (fin de suivi),0,0,NA
Total,12 251,10 517,"85,8 %"
