Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,10 942,8 467,"77,4 %"
Nord-Kivu*,6 143,4 551,"74,1 %"
Haut-Uélé**,641,320,"49,9 %"
Sud-Kivu,55,55,"100,0 %"
Tshopo***,ND,ND,ND
Total,17 781,13 393,"75,3 %"
