Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,11 544,9 255,"80,2 %"
Nord-Kivu*,6 021,4 576,"76,0 %"
Haut-Uélé**,508,320,"63,0 %"
Sud-Kivu,55,55,"100,0 %"
Tshopo***,115,94,"81,7 %"
Total,18 243,14 300,"78,4 %"
