Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,391,332,14,737
Alertes investiguées,129,332,14,475
Taux d'investigation,"33,0%","100,0%","100,0%","64,5%"
Alertes validées Vivantes,93,44,9,146
Alertes validées Décédées,31,15,0,46
Total des cas suspects du jour,124,59,9,192
