Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),15,0,ND,ND,0,15
Nouvelles alertes reçues,507,731,ND,ND,3,1 241
Total alertes du jour,531,731,ND,ND,3,1 265
Alertes investiguées,433,728,ND,ND,3,1 164
Taux d'investigation (24 h),"81,5 %","99,6 %",ND,ND,"100,0 %","92,0 %"
Alertes validées — vivantes,98,53,ND,ND,1,152
Alertes validées — décédées (comm.),74,49,ND,ND,0,123
Total cas suspects du jour,172,102,ND,ND,1,275
