Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,646,114,"17,6%","19 sur 36 (52,8 %)",17
Nord-Kivu1,40,24,"60,0%","9 sur 34 (26,5 %)",0
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,689,139,"20,2%","29 sur 104 (27,9 %)",17
