"indicator","value"
"confirmed_cases_ebola","8"
"samples_to_be_collected","4"
"suspected_probable_cases","246"
"hospitalized_deaths_hgr_mongbwalu","55"
"community_deaths_mongbwalu","2"
"health_personnel_deaths","24"
"identified_contacts",">=82"
"affected_health_zones","3"
