Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"98,3 % (59/60)",100 % (18/18),ND,"71,4 % (5/7)","54,5 % (6/11)","35,0 % (7/20)","81,9 % (95/116)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",100 %,NA,35 %,55 % (6/11),ND,ND
Nombre de personnes passées aux PoE/PoC,138 871,83 918,84 432,8 561,8 167,ND,323 949
% des voyageurs screenés,"97,0 %","97,89 %",100 %,"99,3 %",100 %,100 %,"98,1 %"
% des voyageurs ayant lavé les mains,"96,8 %","97,89 %",100 %,"99,1 %",100 %,100 %,"98,1 %"
% des voyageurs sensibilisés,"99,4 %","97,89 %",100 %,100 %,"99,6 %",ND,"99,2 %"
Nombre d’alertes notifiées,3,2,0,0,0,0,5
Nombre d’alertes vivantes validées (cas suspects),2,0,0,0,0,0,2
Nombre de corps sans vie interceptés ce jour,1,2,0,0,0,0,3
% des cas suspects transférés au CT/CTE,100 % (2/2),NA,0 %,0 %,0 %,0 %,100 % (2/2)
% des corps sans vie swabés/sécurisés,100 % (1/1),0 % (0/2),0 %,0 %,0 %,0 %,"33,3 % (1/3)"
% des cas suspects investigués dans 24 h,100 % (2/2),100 %,0 %,0 %,0 %,0 %,100 % (2/2)
