Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1663,553,"33,3%"
ITURI Bunia,495,149,"30,1%"
ITURI Rwampara,373,83,"22,3%"
ITURI Mongbwalu,327,170,"52,0%"
ITURI Nyankunde,97,22,"22,7%"
ITURI Nizi,107,36,"33,6%"
ITURI Lita,42,17,"40,5%"
ITURI Komanda,25,8,"32,0%"
ITURI Bambu,29,10,"34,5%"
ITURI Kilo,9,1,"11,1%"
ITURI Mangala,43,23,"53,5%"
ITURI Tchomia,17,4,"23,5%"
ITURI Damas,5,0,"0,0%"
ITURI Aungba,6,2,"33,3%"
ITURI Rimba,4,0,"0,0%"
ITURI Aru,3,1,"33,3%"
ITURI Mambasa,5,4,"80,0%"
ITURI Logo,7,0,"0,0%"
ITURI Drodro,3,3,"100,0%"
ITURI Gety,1,0,"0,0%"
ITURI Kambala,2,2,"100,0%"
ITURI Nia-Nia,35,13,"37,1%"
ITURI Fataki,4,1,"25,0%"
ITURI Mandima,5,2,"40,0%"
ITURI Lolwa,1,1,"100,0%"
ITURI Boga,1,1,"100,0%"
ITURI Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,164,94,"57,3%"
NORD-KIVU Butembo,43,20,"46,5%"
NORD-KIVU Katwa,66,45,"68,2%"
NORD-KIVU Beni,30,20,"66,7%"
NORD-KIVU Oicha,3,2,"66,7%"
NORD-KIVU Kalunguta,2,1,"50,0%"
NORD-KIVU Kyondo,5,3,"60,0%"
NORD-KIVU Goma,1,0,"0,0%"
NORD-KIVU Masereka,3,0,"0,0%"
NORD-KIVU Vuhovi,1,1,"100,0%"
NORD-KIVU Mabalako,1,0,"0,0%"
NORD-KIVU Musienene,9,2,"22,2%"
SUD-KIVU,3,1,"33,3%"
SUD-KIVU Miti-Murhesa,3,1,"33,3%"
TOTAL,1830,648,"35,4%"
