Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),20,0,2,22
Nouvelles Alertes,387,814,11,1 212
Total Alertes du jour,407,814,13,1 234
Alertes investiguées,212,814,9,1 035
Taux d'investigation,"52,1%","100,0%","69,2%","83,9%"
Alertes validées Vivantes,167,43,1,211
Alertes validées Décédées,56,34,0,90
Total des cas suspects du jour,223,77,1,301
