DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,24,6,30,21,6,3,0,27,15
Bas Uélé,33,1,34,5,1,28,0,6,0
Ituri,900,66,966,140,66,746,0,206,119
Nord-Kivu,1 374,74,1448,123,57,1251,17,180,100
Sud-Kivu,13,0,13,5,0,1,0,5,4
Tshopo,118,1,119,9,0,106,0,9,2
Total Général,2462,148,2 610,303,130,2135,17,433,240
