Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),1,169,19,ND,49,238
Nouvelles alertes reçues,530,864,3,ND,6,1 403
Total alertes du jour,531,1 033,22,ND,55,1 641
Alertes investiguées,408,852,22,ND,10,1 292
Taux d'investigation (24 h),"76,8%","82,5%","100,0%",ND,"18,2%","78,7%"
Alertes validées — vivantes,125,38,21,ND,6,190
Alertes validées — décédées (comm.),81,49,1,ND,0,131
Total cas suspects du jour,206,87,22,ND,6,321
