Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4716,2 119,"44,9%","28/36 (77,8 %)",61
Nord-Kivu,735,501,"68,2%","13/34 (38,2 %)",7
Haut-Uélé,184,85,"46,2%","6/13 (46,1 %)",3
Tshopo,15,8,"53,3%","7/23 (30,4 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,3,1,"33,3%","3/11(27,3%)",1
Total,5 656,2 715,"48,0%","58/151 (38,4 %)",72
