Priorité,Action,Pilier responsable,Échéance
1,Formation des prestataires sur l'utilisation de la PCR RADIONE,Laboratoire,J+2
2,Briefing des prestataires sur la surveillance MVE et la SBC dans les zones touchées et à haut risque,Surveillance/CREC,J+3
3,Briefing des agents communautaires sur la surveillance MVE et la SBC (province Ituri),Surveillance/CREC,J+3
4,Accompagnement supervisé du DG INSP dans les piliers techniques,Coordination,Continu
5,"Rattrapage du suivi des contacts en Ituri (taux actuel 53,0 %)",Surveillance,J+7
6,Renforcement PCI et formation du personnel à Nyankunde et autres zones nosocomiales,PCI,J+2
7,Déploiement d'un tableau de bord quotidien standardisé avec KPI par pilier,Coordination,J+3
8,Plan de rattrapage des 147 échantillons en attente au Nord-Kivu,Laboratoire,J+2
9,"Nord-Kivu : Poursuite réhabilitation CTE Katwa, réponse aux incidents sécuritaires (ADF), formation PCI HGR Virunga, extension CREC à 15 000 ménages",Multi-pilier,J+3
10,"Sud-Kivu : Dotation de 2 véhicules, installation kit Internet à Miti-Murhesa, crédits de communication",Logistique,J+2
11,"Ituri : Dialogue communautaire intensif dans les zones à forte réticence, sécurisation des CTE",CREC/Sécurité,J+2
