Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),35,22,2,59
Nouvelles Alertes,555,271,15,841
Total Alertes du jour,590,293,17,898
Alertes investiguées,319,271,17,605
Taux d'investigation,"54,1%","92,5%","100,0%","67,4%"
Alertes validées Vivantes,191,16,4,211
Alertes validées Décédées,55,5,0,60
Total des cas suspects du jour,202,21,4,271
