Province,Nombre de nouveaux contacts n,Nombre de nouveaux contacts %,Nombre de contacts devenus suspects n,Nombre de contacts devenus suspects %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,364,"75,7%",13,"68,4%",294,"80,3%"
Nord-Kivu,117,"24,3%",6,"31,6%",72,"19,7%"
Total,481,"100,0%",19,"100,0%",366,"100,0%"
