Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,629,109,"17,3%","19 sur 36 (52,8 %)",29
Nord-Kivu,44,26,"59,1%","9 sur 34 (26,5 %)",12
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,676,136,"20,1%","29 sur 104 (27,9 %)",41
