ISSUES,HGR Bunia,HGR Rwampara,CME,HGR Mongbwalu,HGR Nyankunde,HGR Bambu,HGR Aru,Total
Report (Nombre de malades présents au lit à la fin de journeée précédente),18,9,8,12,38,12,2,99
Nouvelles Admissions du jour PPL,0,1,1,0,0,0,0,2
Nouvelles Admissions du jour Autres,2,4,1,4,0,4,0,15
Sorties Guéris,0,0,0,0,0,0,0,0
Sorties Décédés,2,1,1,2,0,0,0,6
Sorties Non Cas,0,0,0,0,0,0,0,0
Sorties Evadés,1,0,0,3,0,11,0,15
Sorties Transférés à HGR,0,0,0,0,0,0,0,0
Malades en isolement Total,17,13,9,11,38,5,2,95
Malades en isolement NC confirmés,1,0,0,0,0,1,0,2
Malades en isolement AC confirmés,0,1,0,0,9,0,1,11
Malades en isolement Suspects,16,12,9,11,29,4,1,82
Malades en isolement Suspect Enfant < 5 ans,2,0,0,0,0,0,0,2
