Indicateurs,ZS Bunia,ZS Rwampara,ZS Mongbwalu,ZS Nyankunde,ZS Aru,Total Général
Report (Nombre de malades présents au lit à la fin de journeée précédente),41,21,28,26,2,118
Nouvelles Admissions du jour PPL,3,2,0,3,0,8
Nouvelles Admissions du jour Autres,6,2,3,4,0,15
Nouvelles Admissions du jour Total des nouvelles admissions du jour,9,4,3,7,2,25
Effectif total en isolement,50,25,31,33,2,141
Cumul de malades admis en isolement,112,54,65,36,3,270
Sorties Guéris,0,0,0,0,0,0
Sorties Décédés,7,4,1,0,0,12
Sorties Cumul des décès,57,34,48,1,1,141
Sorties Non Cas,0,0,0,0,0,0
Sorties Evadés,5,0,18,0,0,23
Sorties Transférés à HGR,0,2,0,0,0,2
